Raw Data 		Experiment - HL60 _U937_Kokultur Bine _1_IL10_090113 (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510
A7	Sample_5	2	3	34	3283766	71.67	15.66
A7	Sample_5	2	3	35	3362366	71.67	15.72
A7	Sample_5	2	3	36	3440966	71.67	15.73
A7	Sample_5	2	3	37	3519566	71.67	15.77
A7	Sample_5	2	3	38	3598166	71.67	15.75
A7	Sample_5	2	3	39	3676750	71.67	15.76
A7	Sample_5	2	3	40	3755266	71.67	15.84
A7	Sample_5	2	3	41	3833866	71.67	15.77
A7	Sample_5	2	3	42	3912466	71.67	15.86
A7	Sample_5	2	3	43	3991050	71.67	15.82
A7	Sample_5	2	3	44	4069550	71.67	15.88
A7	Sample_5	2	3	45	4148150	71.67	15.85
A8	Sample_6	2	3	1	691600	71.79	17.27
A8	Sample_6	2	3	2	770133	71.64	17.35
A8	Sample_6	2	3	3	848716	71.64	17.32
A8	Sample_6	2	3	4	927233	71.67	17.28
A8	Sample_6	2	3	5	1005816	71.67	17.31
A8	Sample_6	2	3	6	1084316	71.67	17.27
A8	Sample_6	2	3	7	1162916	71.67	17.22
A8	Sample_6	2	3	8	1241416	71.67	17.25
A8	Sample_6	2	3	9	1320000	71.67	17.26
A8	Sample_6	2	3	10	1398500	71.67	17.24
A8	Sample_6	2	3	11	1477116	71.67	17.18
A8	Sample_6	2	3	12	1555700	71.67	17.22
A8	Sample_6	2	3	13	1634300	71.67	17.20
A8	Sample_6	2	3	14	1712900	71.67	17.22
A8	Sample_6	2	3	15	1791500	71.67	17.16
A8	Sample_6	2	3	16	1870000	71.67	17.15
A8	Sample_6	2	3	17	1948400	71.67	17.14
A8	Sample_6	2	3	18	2026883	71.67	17.16
A8	Sample_6	2	3	19	2105400	71.67	17.22
A8	Sample_6	2	3	20	2184000	71.67	17.23
A8	Sample_6	2	3	21	2262583	71.67	17.16
A8	Sample_6	2	3	22	2341200	71.67	17.19
A8	Sample_6	2	3	23	2419783	71.64	17.13
A8	Sample_6	2	3	24	2498383	71.67	17.21
A8	Sample_6	2	3	25	2576883	71.67	17.22
A8	Sample_6	2	3	26	2655483	71.67	17.34
A8	Sample_6	2	3	27	2733983	71.67	17.43
A8	Sample_6	2	3	28	2812583	71.67	17.81
A8	Sample_6	2	3	29	2891200	71.67	18.24
A8	Sample_6	2	3	30	2969766	71.67	41383
A8	Sample_6	2	3	31	3048266	71.67	20.17
A8	Sample_6	2	3	32	3126683	71.67	21.42
A8	Sample_6	2	3	33	3205266	71.67	22.84
A8	Sample_6	2	3	34	3283766	71.67	24.36
A8	Sample_6	2	3	35	3362366	71.67	41420
A8	Sample_6	2	3	36	3440966	71.67	27.70
A8	Sample_6	2	3	37	3519566	71.67	29.33
A8	Sample_6	2	3	38	3598166	71.67	30.81
A8	Sample_6	2	3	39	3676750	71.67	32.17
A8	Sample_6	2	3	40	3755266	71.67	33.40
A8	Sample_6	2	3	41	3833866	71.67	34.36
A8	Sample_6	2	3	42	3912466	71.67	35.04
A8	Sample_6	2	3	43	3991050	71.67	35.44
A8	Sample_6	2	3	44	4069550	71.67	35.82
A8	Sample_6	2	3	45	4148150	71.67	36.14
A9	Sample_6	2	3	1	691600	71.79	27.26
A9	Sample_6	2	3	2	770133	71.64	27.59
A9	Sample_6	2	3	3	848716	71.64	27.60
A9	Sample_6	2	3	4	927233	71.67	27.62
A9	Sample_6	2	3	5	1005816	71.67	27.52
A9	Sample_6	2	3	6	1084316	71.67	27.57
A9	Sample_6	2	3	7	1162916	71.67	27.53
A9	Sample_6	2	3	8	1241416	71.67	27.58
A9	Sample_6	2	3	9	1320000	71.67	27.61
A9	Sample_6	2	3	10	1398500	71.67	27.48
A9	Sample_6	2	3	11	1477116	71.67	27.62
A9	Sample_6	2	3	12	1555700	71.67	27.73
A9	Sample_6	2	3	13	1634300	71.67	27.74
A9	Sample_6	2	3	14	1712900	71.67	27.91
A9	Sample_6	2	3	15	1791500	71.67	28.27
A9	Sample_6	2	3	16	1870000	71.67	28.95
A9	Sample_6	2	3	17	1948400	71.67	41516
A9	Sample_6	2	3	18	2026883	71.67	32.22
A9	Sample_6	2	3	19	2105400	71.67	35.25
A9	Sample_6	2	3	20	2184000	71.67	39.51
A9	Sample_6	2	3	21	2262583	71.67	44.77
A9	Sample_6	2	3	22	2341200	71.67	50.75
A9	Sample_6	2	3	23	2419783	71.64	56.77
A9	Sample_6	2	3	24	2498383	71.67	62.88
A9	Sample_6	2	3	25	2576883	71.67	68.28
A9	Sample_6	2	3	26	2655483	71.67	73.29
A9	Sample_6	2	3	27	2733983	71.67	77.63
A9	Sample_6	2	3	28	2812583	71.67	81.39
A9	Sample_6	2	3	29	2891200	71.67	84.47
A9	Sample_6	2	3	30	2969766	71.67	86.82
A9	Sample_6	2	3	31	3048266	71.67	88.98
A9	Sample_6	2	3	32	3126683	71.67	90.32
A9	Sample_6	2	3	33	3205266	71.67	91.32
A9	Sample_6	2	3	34	3283766	71.67	92.00
A9	Sample_6	2	3	35	3362366	71.67	92.62
A9	Sample_6	2	3	36	3440966	71.67	93.09
A9	Sample_6	2	3	37	3519566	71.67	93.36
A9	Sample_6	2	3	38	3598166	71.67	93.88
A9	Sample_6	2	3	39	3676750	71.67	94.19
A9	Sample_6	2	3	40	3755266	71.67	94.42
A9	Sample_6	2	3	41	3833866	71.67	94.46
A9	Sample_6	2	3	42	3912466	71.67	94.65
A9	Sample_6	2	3	43	3991050	71.67	94.87
A9	Sample_6	2	3	44	4069550	71.67	95.12
A9	Sample_6	2	3	45	4148150	71.67	95.29
A10	Sample_7	2	3	1	691600	71.79	15.91
A10	Sample_7	2	3	2	770133	71.64	15.87
A10	Sample_7	2	3	3	848716	71.64	15.83
A10	Sample_7	2	3	4	927233	71.67	15.83
A10	Sample_7	2	3	5	1005816	71.67	15.74
A10	Sample_7	2	3	6	1084316	71.67	15.76
A10	Sample_7	2	3	7	1162916	71.67	15.79
A10	Sample_7	2	3	8	1241416	71.67	15.71
A10	Sample_7	2	3	9	1320000	71.67	15.67
A10	Sample_7	2	3	10	1398500	71.67	15.68
A10	Sample_7	2	3	11	1477116	71.67	15.66
A10	Sample_7	2	3	12	1555700	71.67	15.67
A10	Sample_7	2	3	13	1634300	71.67	15.64
A10	Sample_7	2	3	14	1712900	71.67	15.65
A10	Sample_7	2	3	15	1791500	71.67	15.59
A10	Sample_7	2	3	16	1870000	71.67	15.62
A10	Sample_7	2	3	17	1948400	71.67	15.60
A10	Sample_7	2	3	18	2026883	71.67	15.57
A10	Sample_7	2	3	19	2105400	71.67	15.56
A10	Sample_7	2	3	20	2184000	71.67	15.58
A10	Sample_7	2	3	21	2262583	71.67	15.55
A10	Sample_7	2	3	22	2341200	71.67	15.57
A10	Sample_7	2	3	23	2419783	71.64	15.59
A10	Sample_7	2	3	24	2498383	71.67	15.54
A10	Sample_7	2	3	25	2576883	71.67	15.58
A10	Sample_7	2	3	26	2655483	71.67	15.58
A10	Sample_7	2	3	27	2733983	71.67	15.57
A10	Sample_7	2	3	28	2812583	71.67	15.59
A10	Sample_7	2	3	29	2891200	71.67	15.56
A10	Sample_7	2	3	30	2969766	71.67	15.56
A10	Sample_7	2	3	31	3048266	71.67	15.54
A10	Sample_7	2	3	32	3126683	71.67	15.54
A10	Sample_7	2	3	33	3205266	71.67	15.54
A10	Sample_7	2	3	34	3283766	71.67	15.57
A10	Sample_7	2	3	35	3362366	71.67	15.57
